date,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM1 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
01/01/2023,17,"V µg/m³",29,"V µg/m³",55,"V µg/m³",6,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
02/01/2023,13,"V µg/m³",24,"V µg/m³",44,"V µg/m³",5,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
03/01/2023,8,"V µg/m³",19,"V µg/m³",32,"V µg/m³",5,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
04/01/2023,21,"V µg/m³",25,"V µg/m³",57,"V µg/m³",5,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
05/01/2023,15,"V µg/m³",24,"V µg/m³",46,"V µg/m³",4,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
06/01/2023,12,"V µg/m³",20,"V µg/m³",39,"V µg/m³",12,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",4,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
07/01/2023,12,"V µg/m³",24,"V µg/m³",42,"V µg/m³",8,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
08/01/2023,12,"V µg/m³",17,"V µg/m³",36,"V µg/m³",12,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",4,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
09/01/2023,17,"V µg/m³",25,"V µg/m³",51,"V µg/m³",7,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
10/01/2023,11,"V µg/m³",19,"V µg/m³",36,"V µg/m³",10,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
11/01/2023,9,"V µg/m³",13,"V µg/m³",27,"V µg/m³",10,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
12/01/2023,10,"V µg/m³",16,"V µg/m³",31,"V µg/m³",7,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
13/01/2023,19,"V µg/m³",31,"V µg/m³",61,"V µg/m³",9,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
14/01/2023,11,"V µg/m³",19,"V µg/m³",36,"V µg/m³",3,"V µg/m³ (FIDAS)",2,"V µg/m³ (Ref.eq)",1,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
15/01/2023,19,"V µg/m³",35,"V µg/m³",64,"V µg/m³",8,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
16/01/2023,29,"V µg/m³",42,"V µg/m³",86,"V µg/m³",6,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
17/01/2023,29,"V µg/m³",38,"V µg/m³",83,"V µg/m³",5,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
18/01/2023,35,"V µg/m³",49,"V µg/m³",103,"V µg/m³",10,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
19/01/2023,26,"V µg/m³",40,"V µg/m³",80,"V µg/m³",7,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
20/01/2023,54,"V µg/m³",62,"V µg/m³",144,"V µg/m³",15,"V µg/m³ (FIDAS)",10,"V µg/m³ (Ref.eq)",8,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
21/01/2023,26,"V µg/m³",42,"V µg/m³",82,"V µg/m³",25,"V µg/m³ (FIDAS)",7,"V µg/m³ (Ref.eq)",4,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
22/01/2023,14,"V µg/m³",22,"V µg/m³",43,"V µg/m³",7,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
23/01/2023,18,"V µg/m³",27,"V µg/m³",54,"V µg/m³",4,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
24/01/2023,22,"V µg/m³",33,"V µg/m³",67,"V µg/m³",6,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
25/01/2023,18,"V µg/m³",34,"V µg/m³",61,"V µg/m³",15,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",4,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
26/01/2023,21,"V µg/m³",43,"V µg/m³",75,"V µg/m³",16,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
27/01/2023,26,"V µg/m³",41,"V µg/m³",82,"V µg/m³",19,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",4,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
28/01/2023,37,"V µg/m³",42,"V µg/m³",100,"V µg/m³",14,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
29/01/2023,14,"V µg/m³",17,"V µg/m³",39,"V µg/m³",7,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
30/01/2023,19,"V µg/m³",31,"V µg/m³",60,"V µg/m³",14,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
31/01/2023,15,"V µg/m³",21,"V µg/m³",43,"V µg/m³",9,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
01/02/2023,19,"V µg/m³",33,"V µg/m³",61,"V µg/m³",10,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
02/02/2023,13,"V µg/m³",18,"V µg/m³",37,"V µg/m³",6,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
03/02/2023,18,"V µg/m³",31,"V µg/m³",59,"V µg/m³",22,"V µg/m³ (FIDAS)",10,"V µg/m³ (Ref.eq)",5,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
04/02/2023,17,"V µg/m³",26,"V µg/m³",52,"V µg/m³",10,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
05/02/2023,21,"V µg/m³",40,"V µg/m³",73,"V µg/m³",28,"V µg/m³ (FIDAS)",10,"V µg/m³ (Ref.eq)",6,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
06/02/2023,16,"V µg/m³",25,"V µg/m³",49,"V µg/m³",15,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
07/02/2023,21,"V µg/m³",33,"V µg/m³",66,"V µg/m³",9,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",5,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
08/02/2023,11,"V µg/m³",17,"V µg/m³",33,"V µg/m³",11,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
09/02/2023,16,"V µg/m³",24,"V µg/m³",49,"V µg/m³",14,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
10/02/2023,14,"V µg/m³",20,"V µg/m³",42,"V µg/m³",6,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
11/02/2023,15,"V µg/m³",25,"V µg/m³",48,"V µg/m³",8,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
12/02/2023,11,"V µg/m³",19,"V µg/m³",35,"V µg/m³",18,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",4,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
13/02/2023,28,"V µg/m³",45,"V µg/m³",88,"V µg/m³",30,"V µg/m³ (FIDAS)",22,"V µg/m³ (Ref.eq)",21,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
14/02/2023,23,"V µg/m³",44,"V µg/m³",78,"V µg/m³",36,"V µg/m³ (FIDAS)",23,"V µg/m³ (Ref.eq)",21,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
15/02/2023,11,"V µg/m³",22,"V µg/m³",39,"V µg/m³",22,"V µg/m³ (FIDAS)",9,"V µg/m³ (Ref.eq)",7,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
16/02/2023,16,"V µg/m³",30,"V µg/m³",56,"V µg/m³",10,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
17/02/2023,17,"V µg/m³",28,"V µg/m³",53,"V µg/m³",12,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
18/02/2023,5,"V µg/m³",20,"V µg/m³",27,"V µg/m³",3,"V µg/m³ (FIDAS)",2,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
19/02/2023,9,"V µg/m³",14,"V µg/m³",27,"V µg/m³",5,"V µg/m³ (FIDAS)",2,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
20/02/2023,11,"V µg/m³",17,"V µg/m³",34,"V µg/m³",6,"V µg/m³ (FIDAS)",2,"V µg/m³ (Ref.eq)",1,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
21/02/2023,16,"V µg/m³",22,"V µg/m³",46,"V µg/m³",8,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
22/02/2023,21,"V µg/m³",38,"V µg/m³",69,"V µg/m³",9,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
23/02/2023,20,"V µg/m³",35,"V µg/m³",66,"V µg/m³",19,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
24/02/2023,10,"V µg/m³",25,"V µg/m³",41,"V µg/m³",10,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
25/02/2023,6,"V µg/m³",22,"V µg/m³",31,"V µg/m³",13,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
26/02/2023,10,"V µg/m³",25,"V µg/m³",39,"V µg/m³",14,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",4,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
27/02/2023,16,"V µg/m³",38,"V µg/m³",63,"V µg/m³",20,"V µg/m³ (FIDAS)",9,"V µg/m³ (Ref.eq)",7,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
28/02/2023,6,"V µg/m³",23,"V µg/m³",33,"V µg/m³",11,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",4,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
01/03/2023,3,"V µg/m³",14,"V µg/m³",19,"V µg/m³",7,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
02/03/2023,4,"V µg/m³",15,"V µg/m³",20,"V µg/m³",11,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
03/03/2023,12,"V µg/m³",30,"V µg/m³",49,"V µg/m³",16,"V µg/m³ (FIDAS)",8,"V µg/m³ (Ref.eq)",5,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
04/03/2023,23,"V µg/m³",38,"V µg/m³",73,"V µg/m³",14,"V µg/m³ (FIDAS)",7,"V µg/m³ (Ref.eq)",6,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
05/03/2023,12,"V µg/m³",24,"V µg/m³",43,"V µg/m³",9,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
06/03/2023,20,"V µg/m³",35,"V µg/m³",66,"V µg/m³",11,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
07/03/2023,28,"V µg/m³",44,"V µg/m³",87,"V µg/m³",20,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
08/03/2023,12,"V µg/m³",30,"V µg/m³",48,"V µg/m³",10,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
09/03/2023,6,"V µg/m³",15,"V µg/m³",24,"V µg/m³",10,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",1,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
10/03/2023,26,"V µg/m³",40,"V µg/m³",80,"V µg/m³",30,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
11/03/2023,12,"V µg/m³",28,"V µg/m³",46,"V µg/m³",15,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",4,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
12/03/2023,11,"V µg/m³",21,"V µg/m³",38,"V µg/m³",14,"V µg/m³ (FIDAS)",7,"V µg/m³ (Ref.eq)",5,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
13/03/2023,6,"V µg/m³",16,"V µg/m³",25,"V µg/m³",6,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",1,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
14/03/2023,23,"V µg/m³",41,"V µg/m³",76,"V µg/m³",25,"V µg/m³ (FIDAS)",7,"V µg/m³ (Ref.eq)",4,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
15/03/2023,20,"V µg/m³",33,"V µg/m³",64,"V µg/m³",22,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
16/03/2023,14,"V µg/m³",29,"V µg/m³",51,"V µg/m³",6,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
17/03/2023,17,"V µg/m³",34,"V µg/m³",61,"V µg/m³",14,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",4,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
18/03/2023,15,"V µg/m³",30,"V µg/m³",54,"V µg/m³",9,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",4,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
19/03/2023,15,"V µg/m³",25,"V µg/m³",48,"V µg/m³",9,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
20/03/2023,10,"V µg/m³",23,"V µg/m³",39,"V µg/m³",6,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",4,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
21/03/2023,10,"V µg/m³",18,"V µg/m³",34,"V µg/m³",5,"V µg/m³ (FIDAS)",2,"V µg/m³ (Ref.eq)",1,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
22/03/2023,8,"V µg/m³",14,"V µg/m³",27,"V µg/m³",11,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
23/03/2023,11,"V µg/m³",18,"V µg/m³",35,"V µg/m³",10,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
24/03/2023,20,"V µg/m³",30,"V µg/m³",60,"V µg/m³",8,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
25/03/2023,6,"V µg/m³",21,"V µg/m³",30,"V µg/m³",12,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
26/03/2023,4,"V µg/m³",15,"V µg/m³",22,"V µg/m³",9,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)",2,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
27/03/2023,19,"V µg/m³",37,"V µg/m³",66,"V µg/m³",12,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)",3,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
28/03/2023,21,"V µg/m³",41,"V µg/m³",74,"V µg/m³",8,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)",4,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
29/03/2023,16,"V µg/m³",32,"V µg/m³",56,"V µg/m³",7,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)",4,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
30/03/2023,16,"V µg/m³",30,"V µg/m³",54,"V µg/m³",13,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)",4,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
31/03/2023,4,"V µg/m³",12,"V µg/m³",17,"V µg/m³",15,"V µg/m³ (FIDAS)",9,"V µg/m³ (Ref.eq)",5,"V µg/m³ (FIDAS)","No data","No data","No data","No data","No data","No data"
